Type;From;To;Waypoints;P_MW;Voltage;Line_Abbreviation;Line_Name
380/220kV;Bassecourt;Mambelin;;;380;LTH 3BACMAM;380 Ltg. Bassecourt-Mambelin
380/220kV;Bassecourt;Sierentz;;;380;LTH 3BACSIR;380 Ltg. Bassecourt-Sierentz
380/220kV;Bassecourt;Laufenburg;;;380;LTH 3BACLAU;380 Ltg. Bassecourt-Laufenburg
380/220kV;Bassecourt;Bickigen;;;380;LTH 3BACBIK;380 Ltg. Bassecourt-Bickigen
380/220kV;Bickigen;Laufenburg;;-28.83857;380;LTH 3BIKLAU;380 Ltg. Bickigen-Laufenburg
380/220kV;Asphard;Laufenburg;;;;;not found
380/220kV;Asphard;Gösgen;;;;;not found
380/220kV;Asphard;Ormalingen;;;;;not found
380/220kV;Gösgen;Ormalingen;;;;;not found
380/220kV;Lindenholz;Sursee;;;;;not found
380/220kV;Gösgen;Sursee;;;;;not found
380/220kV;Mettlen;Sursee;;;;;not found
380/220kV;Littau;Mettlen;;-35.462532;220;LTH 2LITMET;220 Ltg. Littau-Mettlen
380/220kV;Giswil;Littau;;1.429688;220;LTH 2GISLIT;220 Ltg. Giswil-Littau
380/220kV;Giswil;Innertkirchen;;8.596354;220;LTH 2GISINN;220 Ltg. Giswil-Innertkirchen
380/220kV;Innertkirchen;Mettlen;;-2.330501;220;LTH 2INNMET;220 Ltg. Innertkirchen-Mettlen
380/220kV;Innertkirchen;Grimsel;;;;;not found
380/220kV;Innertkirchen;Handeck;;;;;not found
380/220kV;Handeck;Peccia;;272.94574;220;LTH 2HANPEC;220 Ltg. Handeck-Peccia
380/220kV;Bavona;Peccia;;;;;not found
380/220kV;Bavona;Robiei;;;;;not found
380/220kV;Robiei;Airolo;;;;;not found
380/220kV;Airolo;Fiesch;;;;;not found
380/220kV;Handeck;Mörel;;171.888687;220;LTH 2HANMOE;220 Ltg. Handeck-Mörel
380/220kV;Fiesch;Mörel;;;;;not found
380/220kV;Mörel;Bitsch;;;;;not found
380/220kV;Mörel;Chippis;;;;;not found
380/220kV;Bitsch;Chippis;;;;;not found
380/220kV;Chamoson;Chippis;;;;;not found
380/220kV;Chamoson;Riddes;;;;;not found
380/220kV;Chamoson;Fonnay;;;;;not found
380/220kV;Fonnay;FMM;;;;;not found
380/220kV;Riddes;FMM;;;;;not found
380/220kV;Riddes;Valpelline;;;;;not found
380/220kV;Riddes;Avise;;;;;not found
380/220kV;Riddes;Batiaz;;;;;not found
380/220kV;Riddes;Cornier;;;;;not found
380/220kV;Batiaz;St. Triphon;;;;;not found
380/220kV;Riddes;St. Triphon;;;;;not found
380/220kV;Cornier;St. Triphon;;;;;not found
380/220kV;Botterens;St. Triphon;;;;;not found
380/220kV;Hauterive;St. Triphon;;;;;not found
380/220kV;Botterens;Mühleberg;;-2.94315;220;LTH 2BOTMUE;220 Ltg. Botterens-Mühleberg
380/220kV;Hauterive;Mühleberg;;32.641834;220;LTH 2HAUMUE;220 Ltg. Hauterive-Mühleberg
380/220kV;Kerzers;Mühleberg;;;220;LTH 2KERMUE;220 Ltg. Kerzers-Mühleberg
380/220kV;Galmiz;Mühleberg;;9.453894;220;LTH 2GALMUE;220 Ltg. Galmiz-Mühleberg
380/220kV;Kerzers;Galmiz;;;;;not found
380/220kV;Bassecourt;Mühleberg;;;220;LTH 2BACMUE;220 Ltg. Bassecourt-Mühleberg (alt)
380/220kV;Bickigen;Mühleberg;;-183.720535;220;LTH 2BIKMUE;220 Ltg. Bickigen-Mühleberg
380/220kV;Bickigen;Mühleberg;;-183.720535;220;LTH 2BIKMUE;220 Ltg. Bickigen-Mühleberg
380/220kV;Bickigen;Flumental;;;;;not found
380/220kV;Flumental;Gösgen;;;;;not found
380/220kV;Laufenburg;Lindenholz;;0;220;LTH 2LAULIN;220 Ltg. Laufenburg-Lindenholz
380/220kV;Bickigen;Oftringen;;21.777861;220;LTH 2BIKOFT;220 Ltg. Bickigen-Oftringen
380/220kV;Bickigen;Mettlen;;;;;not found
380/220kV;Bickigen;Innertkirchen;3518,3585|3567,4491;;;;not found
380/220kV;Bickigen;Mettlen;;;;;not found
380/220kV;Bickigen;Wimmis;;-21.788464;220;LTH 2BIKWIM;220 Ltg. Bickigen-Wimmis
380/220kV;Bickigen;Chippis;;0;380;LTH 3BIKCHI;380 Ltg. Bickigen-Chippis
380/220kV;Chippis;Wimmis;;40.436794;220;LTH 2CHIWIM;220 Ltg. Chippis-Wimmis
380/220kV;Innertkirchen;Wimmis;;-73.783005;220;LTH 2INNWIM;220 Ltg. Innertkirchen-Wimmis
380/220kV;Froloo;Lachmatt;;;;;not found
380/220kV;Lachmatt;Münchenwilen;;;;;not found
380/220kV;Froloo;Ormalingen;;;;;not found
380/220kV;Münchenwilen;Laufenburg;;;;;not found
132kV;Birsbrücke;Dolderweg;;7.283435;132;LTH 1BIBDOL;132 Ltg. Birsbrücke-Dolderweg (IWB)
132kV;Dolderweg;Voltastrasse;;-10.243684;132;LTH 1DOLVOL;132 Ltg. Dolderweg-Voltastrasse (IWB)
132kV;Voltastrasse;Wasenring;;;;;not found
132kV;Wasenring;Margareten;;;;;not found
132kV;Margareten;Jakobsweg;;;;;not found
132kV;Birsbrücke;Jakobsweg;;;;;not found
132kV;Jakobsweg;Brislach;3162,1252;;;;not found
132kV;Birsbrücke;Wangen;3192,1252;0.349737;132;LTH 1BIBWAN;132 Ltg. Birsbrücke-Wangen (IWB)
132kV;Brislach;Wangen;;;;;not found
132kV;Bassecourt;Brislach;;34.234322;132;LTH 1BACBRI;132 Ltg. Bassecourt-Brislach
132kV;Bickigen;Wangen;;15.699856;132;LTH 1BIKWAN;132 Ltg. Bickigen-Wangen (IWB)
132kV;Bickigen;Herzogenbuchsee;;-9.674697;132;LTH 1BIKHEB;132 Ltg. Bickigen-Herzogenbuchsee
132kV;Flumenthal;Wangen;;;132;LTH 1FLUWAN;132 Ltg. Flumenthal-Wangen
132kV;Birchi;Wangen;;0;132;LTH 1BIRWAN;132 Ltg. Birchi-Wangen
132kV;Birchi;Wangen;;0;132;LTH 1BIRWAN;132 Ltg. Birchi-Wangen
132kV;Birchi;Selzach;2554,2780;12.157913;132;LTH 1BIRSEL;132 Ltg. Birchi-Selzach
132kV;Bickigen;Utzenstorf;;7.249491;132;LTH 1BIKUTZ;132 Ltg. Bickigen-Utzenstorf
132kV;Utzenstorf;Carbagas;;;;;not found
132kV;Utzenstorf;Birchi;;;;;not found
132kV;Bickigen;Birchi;2900,3250|2800,3100;12.486984;132;LTH 1BIKBIR;132 Ltg. Bickigen-Birchi
132kV;Bickigen;Heimiswil;;-33.794975;132;LTH 1BIKHEI;132 Ltg. Bickigen-Heimiswil
132kV;Heimiswil;Sumiswald;;-32.445694;132;LTH 1HEISUM;132 Ltg. Heimiswil-Sumiswald
132kV;Emmenmatt;Sumiswald;;27.974325;132;LTH 1EMASUM;132 Ltg. Emmenmatt-Sumiswald
132kV;Emmenmatt;Grosshöchstetten;;-24.63398;132;LTH 1EMAGRO;132 Ltg. Emmenmatt-Grosshöchstetten
132kV;Grosshöchstetten;Wichtrach;;-18.911121;132;LTH 1GROWIC;132 Ltg. Grosshöchstetten-Wichtrach
132kV;Steffisburg;Wichtrach;;12.090781;132;LTH 1STEWIC;132 Ltg. Steffisburg-Wichtrach
132kV;Steffisburg;Wattenwil;;-0.595332;132;LTH 1STEWAT;132 Ltg. Steffisburg-Wattenwil
132kV;Gasel;Wattenwil;;-14.716766;132;LTH 1GASWAT;132 Ltg. Gasel-Wattenwil
132kV;Wattenwil;Wilderswil;;-6.971783;132;LTH 1WATWIL;132 Ltg. Wattenwil-Wilderswil
132kV;Innertkirchen;Wilderswil;;-4.184563;132;LTH 1INNWIL;132 Ltg. Innertkirchen-Wilderswil
132kV;Aaregg;Innertkirchen;;;132;LTH 1AREINN;132 Ltg. Aaregg-Innertkirchen
132kV;Grosshöchstetten;Worb;;0;132;LTH 1GROWOR;132 Ltg. Grosshöchstetten-Worb
132kV;Belp;Worb;;8.484866;132;LTH 1BELWOR;132 Ltg. Belp-Worb
