Type;From;To;Waypoints;P_MW
380/220kV;Bassecourt;Mambelin;;1
380/220kV;Bassecourt;Sierentz;;1
380/220kV;Bassecourt;Laufenburg;;1
380/220kV;Bassecourt;Bickigen;;1
380/220kV;Bickigen;Laufenburg;;1
380/220kV;Asphard;Laufenburg;;1
380/220kV;Asphard;Gösgen;;1
380/220kV;Asphard;Ormalingen;;1
380/220kV;Gösgen;Ormalingen;;1
380/220kV;Lindenholz;Sursee;;1
380/220kV;Gösgen;Sursee;;1
380/220kV;Mettlen;Sursee;;1
380/220kV;Mettlen;Littau;;1
380/220kV;Littau;Giswil;;1
380/220kV;Giswil;Innertkirchen;;1
380/220kV;Mettlen;Innertkirchen;;1
380/220kV;Innertkirchen;Grimsel;;1
380/220kV;Innertkirchen;Handeck;;1
380/220kV;Handeck;Peccia;;1
380/220kV;Bavona;Peccia;;1
380/220kV;Bavona;Robiei;;1
380/220kV;Robiei;Airolo;;1
380/220kV;Airolo;Fiesch;;1
380/220kV;Handeck;Mörel;;1
380/220kV;Fiesch;Mörel;;1
380/220kV;Mörel;Bitsch;;1
380/220kV;Mörel;Chippis;;1
380/220kV;Bitsch;Chippis;;1
380/220kV;Chamoson;Chippis;;1
380/220kV;Chamoson;Riddes;;1
380/220kV;Chamoson;Fonnay;;1
380/220kV;Fonnay;FMM;;1
380/220kV;Riddes;FMM;;1
380/220kV;Riddes;Valpelline;;1
380/220kV;Riddes;Avise;;1
380/220kV;Riddes;Batiaz;;1
380/220kV;Riddes;Cornier;;1
380/220kV;Batiaz;St. Triphon;;1
380/220kV;Riddes;St. Triphon;;1
380/220kV;Cornier;St. Triphon;;1
380/220kV;Botterens;St. Triphon;;1
380/220kV;Hauterive;St. Triphon;;1
380/220kV;Mühleberg;Botterens;;1
380/220kV;Mühleberg;Hauterive;;1
380/220kV;Mühleberg;Kerzers;;1
380/220kV;Mühleberg;Galmiz;;1
380/220kV;Kerzers;Galmiz;;1
380/220kV;Mühleberg;Bassecourt;;1
380/220kV;Mühleberg;Bickigen;;1
380/220kV;Mühleberg;Bickigen;;1
380/220kV;Bickigen;Flumental;;1
380/220kV;Flumental;Gösgen;;1
380/220kV;Lindenholz;Laufenburg;;1
380/220kV;Bickigen;Oftringen;;1
380/220kV;Bickigen;Mettlen;;1
380/220kV;Bickigen;Innertkirchen;3518,3585|3567,4491;1
380/220kV;Bickigen;Mettlen;;1
380/220kV;Bickigen;Wimmis;;1
380/220kV;Bickigen;Chippis;;1
380/220kV;Wimmis;Chippis;;1
380/220kV;Wimmis;Innertkirchen;;1
380/220kV;Froloo;Lachmatt;;1
380/220kV;Lachmatt;Münchenwilen;;1
380/220kV;Froloo;Ormalingen;;1
380/220kV;Münchenwilen;Laufenburg;;1
132kV;Birsbrücke;Dolderweg;;1
132kV;Dolderweg;Voltastrasse;;1
132kV;Voltastrasse;Wasenring;;1
132kV;Wasenring;Margareten;;1
132kV;Margareten;Jakobsweg;;1
132kV;Birsbrücke;Jakobsweg;;1
132kV;Jakobsweg;Brislach;3162,1252;1
132kV;Birsbrücke;Wangen;3192,1252;1
132kV;Brislach;Wangen;;1
132kV;Brislach;Bassecourt;;1
132kV;Wangen;Bickigen;;50
132kV;Bickigen;Herzogenbuchsee;;1
132kV;Wangen;Flumenthal;;1
132kV;Wangen;Birchi;;1
132kV;Wangen;Birchi;;1
132kV;Birchi;Selzach;2554,2780;1
132kV;Bickigen;Utzenstorf;;1
