Type;Name;X;Y;P_MW
380/220kV;Gösgen;4694;1692;1
380/220kV;Botterens;1266;5998;2
380/220kV;Grimsel;5948;6116;3
380/220kV;Avise;1368;9084;4
380/220kV;Ponte;6104;7386;5
380/220kV;Pallanzeno;5220;8824;6
380/220kV;Peccia;6988;7294;7
380/220kV;Gerlafingen;3132;2818;8
380/220kV;Ormalingen;4472;1186;9
380/220kV;Giswil;5500;4782;10
380/220kV;Mettlen;5944;3146;11
380/220kV;Mambelin;146;1980;12
380/220kV;Galmiz;1364;4228;13
380/220kV;Fiesch;5232;7276;14
380/220kV;Oftringen;4354;1990;15
380/220kV;Chamoson;1834;8400;16
380/220kV;Lachmatt;3376;1100;17
380/220kV;Fonnay;2032;8752;18
380/220kV;Batiaz;766;8618;19
380/220kV;Airolo;6970;6718;20
380/220kV;Mühleberg;1966;3996;21
380/220kV;Münchenwilen;4458;792;22
380/220kV;Flumenthal;3084;2438;23
380/220kV;Bassecourt;1716;1922;24
380/220kV;Sierentz;1894;344;25
380/220kV;FMM;1894;8816;26
380/220kV;Kerzers;1500;3950;27
380/220kV;25;1978;6840;28
380/220kV;Gondo;5432;8266;29
380/220kV;Bavona;6646;7546;30
380/220kV;Lindenholz;3860;2956;31
380/220kV;Laufenburg;4908;680;32
380/220kV;Robiei;6578;7074;33
380/220kV;Valpelline;1764;9066;34
380/220kV;Asphard;3506;850;35
380/220kV;Littau;5606;3538;36
380/220kV;Gabi;5270;8084;37
380/220kV;Froloo;3050;1200;38
380/220kV;Cornier;316;8546;39
380/220kV;Bitsch;4746;7668;40
380/220kV;38;4238;8408;41
380/220kV;Serra;5146;8418;42
380/220kV;Hauterive;1174;5280;43
380/220kV;Bickigen;3372;3224;44
380/220kV;Sursee;5070;2874;45
380/220kV;Riddes;1630;8630;46
380/220kV;Handeck;5628;5884;47
380/220kV;St. Triphon;798;8084;48
380/220kV;Chippis;2928;8084;49
380/220kV;Innertkirchen;5618;5550;50
380/220kV;48;3188;5732;51
380/220kV;Mörel;4908;7508;52
132kV;Deisswil;2788;4084;53
132kV;Burgdorf;3078;3422;54
132kV;Mett;1874;2986;55
132kV;Worblaufen;2662;3890;56
132kV;Habstetten;2794;3854;57
132kV;Pieterlen;2022;2852;58
132kV;Wichtrach;3000;4642;59
132kV;Froloo;3052;1200;60
132kV;Gasel;2310;4444;61
